,dbuz_head_rep1,dbuz_head_rep2,dbuz_head_rep3,dkoep_head_rep1,dkoep_head_rep2,dkoep_head_rep3
LOC26527635,296,230,289,170,256,191
LOC26527636,963,777,949,663,986,1141
LOC26527644,176,119,153,195,264,320
LOC26527669,40,34,25,135,172,174
LOC26527690,347,279,350,269,360,451
LOC26527692,7,3,3,4,0,10
LOC26527695,3479,2681,3481,4282,5530,6785
LOC26527701,5,7,5,62,72,71
LOC26527707,190,166,180,44,77,83
LOC26527708,32736,28140,36356,18820,26058,28289
LOC26527712,12,7,9,6,10,3
LOC26527719,4292,3293,4126,3112,4291,3796
LOC26527720,189,147,148,9,20,14
LOC26527723,1926,1671,2082,845,1118,1167
LOC26527728,117,97,125,130,180,176
LOC26527736,889,797,942,1136,1400,1554
LOC26527738,431,421,495,328,404,458
LOC26527741,1,2,2,3,0,0
LOC26527742,524,377,486,683,960,986
LOC26527752,25179,20591,25678,9170,10698,12386
LOC26527756,431,360,381,463,596,705
LOC26527765,3511,2682,3337,4224,5507,5868
LOC26527770,14,10,11,10,12,19
LOC26527771,65391,46152,54028,58813,56352,82059
LOC26527786,2,3,1,4,6,1
LOC26527789,525,450,531,503,571,859
LOC26527792,503,423,500,439,496,477
LOC26527797,194,163,138,231,265,342
LOC26527799,309,242,336,220,345,352
LOC26527801,5,9,3,10,14,23
LOC26527803,0,0,0,1,0,2
LOC26527805,0,0,0,552838,800993,786368
LOC26527809,205,208,294,220,351,352
LOC26527810,0,0,0,0,0,0
LOC26527811,911,713,879,685,935,939
LOC26527813,4,0,0,1,0,1
LOC26527818,381,326,367,260,294,373
LOC26527819,4,0,1,0,1,0
LOC26527820,251,220,329,106,178,115
LOC26527823,216,138,170,107,110,104
LOC26527826,289,215,274,218,295,309
LOC26527843,5838,4516,5348,5932,7571,7650
LOC26527856,253,186,222,178,257,252
LOC26527857,14,11,14,5,4,5
LOC26527864,19,14,14,41,42,48
LOC26527867,163,162,193,84,119,122
LOC26527871,0,0,0,1,1,2
LOC26527875,123,97,138,95,125,139
LOC26527876,3,7,6,14,43,45
LOC26527883,754,583,796,776,1012,1152
LOC26527888,0,0,0,0,0,0
LOC26527892,69,45,55,2,7,9
LOC26527900,63,51,90,15,25,21
LOC26527906,4,5,5,2,3,3
LOC26527917,2137,1702,2120,2729,3677,4084
LOC26527918,1119,997,1337,1212,1587,1672
LOC26527923,266,178,216,310,445,493
LOC26527925,1086,843,1122,744,1044,1091
LOC26527934,20,20,23,3,7,8
LOC26527938,21,14,28,7,7,7
LOC26527940,911,584,702,1056,1352,1599
LOC26527941,1,1,1,8,4,2
LOC26527948,654,548,687,633,906,927
LOC26527949,4,3,7,12,11,14
LOC26527960,659,551,719,619,965,1126
LOC26527968,1165,962,1272,657,990,928
LOC26527969,0,0,0,0,0,0
LOC26527988,2070,2054,2677,270,556,497
LOC26527993,4,0,2,3,2,2
LOC26527997,1349,952,1060,928,1187,1457
LOC26527999,2,0,0,0,0,0
LOC26528006,149,123,132,129,104,204
LOC26528009,2098,1739,2313,1658,2279,2342
LOC26528015,4151,3415,3800,2985,3644,3975
LOC26528018,737,586,793,468,590,650
LOC26528030,2459,1820,2335,1649,2133,2020
LOC26528031,4,2,12,15,28,25
LOC26528032,0,3,0,3,1,2
LOC26528033,85,53,85,75,92,91
LOC26528040,0,1,0,1,1,0
LOC26528043,37,16,23,11,16,14
LOC26528056,13730,8975,10604,15283,14438,24615
LOC26528060,1407,1189,1558,1171,1539,1477
LOC26528062,1881,1493,1997,868,1158,1235
LOC26528066,136,141,146,53,51,78
LOC26528067,156,136,161,74,112,130
LOC26528085,0,0,0,1,0,0
LOC26528102,355,263,360,454,702,644
LOC26528103,3722,3318,4025,2850,3596,3850
LOC26528105,280,245,238,162,258,310
LOC26528108,515,378,426,374,396,567
LOC26528111,18,21,30,13,11,16
LOC26528134,6,7,9,4,4,1
LOC26528142,0,0,0,2,4,2
LOC26528143,1989,1820,2118,1100,1275,1395
LOC26528149,89,47,81,49,50,51
LOC26528156,14,10,4,26,46,49
LOC26528187,0,0,0,0,0,0
LOC26528194,5151,3970,5167,6442,8633,9296
LOC26528203,1244,837,1016,621,755,953
LOC26528208,3,3,12,11,13,16
LOC26528211,614,562,695,479,561,539
LOC26528213,9764,7821,9448,9517,12223,11601
LOC26528219,2400,1701,2057,1678,1895,2585
LOC26528220,1947,1590,2189,1177,1355,1710
LOC26528222,0,1,0,0,0,0
LOC26528226,0,0,4,3,3,3
LOC26528230,297,263,324,101,135,149
LOC26528232,1969,1557,1939,3186,3636,4086
LOC26528233,121,86,84,96,108,146
LOC26528255,519,436,545,735,902,995
LOC26528271,350,294,408,256,303,312
LOC26528281,3,1,7,13,21,18
LOC26528286,296,244,298,126,66,187
LOC26528290,6337,5474,6974,9587,11154,15900
LOC26528291,17,25,30,69,99,113
LOC26528299,1467,1152,1449,727,970,1016
LOC26528309,2,4,1,5,8,7
LOC26528310,2,1,0,0,0,0
LOC26528313,22,21,26,38,32,46
LOC26528315,4722,3919,4879,3612,4778,4644
LOC26528321,1,0,0,0,0,1
