,dari_head_rep1,dari_head_rep2,dari_head_rep3,dmoj01_head_rep1,dmoj01_head_rep2,dmoj01_head_rep3,dmoj20_head_rep1,dmoj20_head_rep2,dmoj20_head_rep3,dmoj22_head_rep1,dmoj22_head_rep2,dmoj22_head_rep3,dmoj26_head_rep1,dmoj26_head_rep2,dmoj26_head_rep3
LOC116804124,0,0,0,0,0,0,0,0,0,1,6,0,15,11,6
LOC116804128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804135,1,3,41,0,0,0,10,30,7,2,9,18,46,95,58
LOC116804136,3,18,22,37,117,45,20,52,50,21,73,8,41,53,22
LOC116804137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804138,0,0,4,6,4,7,2,0,2,2,9,0,10,6,6
LOC116804140,2,0,14,0,0,0,0,0,1,0,3,3,0,0,0
LOC116804141,0,0,0,24,32,6,42,97,67,0,1,0,0,4,0
LOC116804142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804143,1733,1788,11397,2470,6829,2714,35,144,90,1799,4304,4579,3147,6676,3545
LOC116804145,1,0,5,0,4,0,0,0,0,7,0,5,0,3,0
LOC116804146,531,546,3096,555,1237,537,512,1482,731,324,1105,673,341,447,221
LOC116804147,68,52,379,212,383,145,105,228,109,131,424,172,25,88,35
LOC116804148,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0
LOC116804149,5,2,20,6,11,6,7,37,1,1,2,4,4,0,2
LOC116804153,49,27,186,29,90,32,36,97,36,31,53,44,29,29,15
LOC116804156,4,2,17,0,3,0,0,0,0,1,0,5,3,15,0
LOC116804157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804158,56,73,335,40,150,55,26,104,23,29,54,51,28,47,32
LOC116804160,0,2,22,1,4,2,5,10,12,3,7,5,7,12,2
LOC116804162,2,4,0,2,0,4,1,0,3,2,1,0,0,9,0
LOC116804163,13,15,74,44,16,14,1,8,6,12,40,3,12,18,10
LOC116804167,60,60,394,295,590,176,130,264,152,183,507,340,185,182,90
LOC116804169,32,9,92,28,17,19,4,10,16,11,15,3,0,1,0
LOC116804170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804172,6,0,0,5,0,8,3,3,1,2,15,6,5,3,6
LOC116804173,0,0,0,0,8,0,1,0,1,2,2,0,0,0,1
LOC116804174,946,1005,4370,323,767,308,774,1384,1117,815,1771,1032,725,1212,775
LOC116804175,30,36,177,42,72,36,9,4,17,2,15,20,4,16,3
LOC116804176,24,15,88,85,212,71,0,0,0,2,3,4,0,0,0
LOC116804177,5,5,17,1,0,0,1,4,0,1,0,3,0,3,2
LOC116804178,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LOC116804179,4,8,36,16,7,0,4,0,4,1,18,11,6,0,2
LOC116804180,237,234,1508,404,1316,478,393,1074,810,149,411,424,364,791,384
LOC116804182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804184,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
LOC116804185,429,331,2122,390,706,252,409,716,423,559,1524,884,94,145,76
LOC116804188,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804189,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0
LOC116804190,8,1,15,11,4,5,2,7,9,0,0,2,4,9,3
LOC116804191,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804192,0,2,0,14,0,4,9,0,0,4,0,2,3,5,2
LOC116804193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804289,67,37,225,5,0,0,0,0,2,0,0,0,0,0,0
LOC116804290,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
LOC116804292,15,0,38,16,7,0,38,66,36,20,10,24,0,5,1
LOC116804294,3,1,0,19,18,7,164,181,128,0,0,0,3,5,0
LOC116804295,56,49,362,23,39,20,48,73,69,17,91,55,3,17,4
LOC116804296,190,180,1002,573,1720,565,224,786,484,218,838,535,190,328,185
LOC116804297,15,10,86,43,60,28,18,54,47,29,85,50,26,45,7
LOC116804298,364,291,1959,382,918,279,200,536,273,180,441,327,276,500,259
LOC116804299,19,17,199,8,14,6,4,11,25,6,47,13,0,2,2
LOC116804300,6,15,105,48,111,27,3,0,0,1,2,2,0,0,1
LOC116804301,0,3,16,5,11,1,1,7,0,3,0,0,0,0,0
LOC116804302,56,66,370,35,39,35,43,137,91,10,22,9,67,61,45
LOC116804303,20,11,55,184,336,118,121,206,126,90,158,133,65,130,33
LOC116804306,82,85,509,98,224,77,95,203,67,62,175,116,131,191,114
LOC116804307,3,5,21,0,24,0,3,0,1,7,12,5,7,2,1
LOC116804308,10,16,86,4,23,12,8,42,28,6,22,10,1,10,3
LOC116804309,4,1,0,0,7,3,0,0,0,0,4,0,0,3,0
LOC116804310,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
LOC116804312,807,885,3600,948,2001,838,1148,2013,1649,805,2043,1090,663,1115,574
LOC116804315,31,19,101,88,203,77,96,213,83,39,52,34,23,9,3
LOC116804316,582,524,2074,973,1565,649,432,721,423,224,514,320,880,1243,583
LOC116804317,22,22,141,6,16,6,0,0,3,0,10,7,11,10,7
LOC116804321,10,2,66,71,159,55,7,4,6,156,313,269,11,9,10
LOC116804325,11,8,19,0,12,0,10,16,0,9,4,0,10,1,5
LOC116804326,2462,2492,12050,3530,9009,2885,2255,4470,2287,1088,3278,1764,5104,8331,3624
LOC116804328,140,189,920,16,100,41,43,86,32,14,40,39,8,11,6
LOC116804329,29,15,103,8,76,28,44,56,40,13,29,20,29,8,18
LOC116804330,6,13,20,2,16,12,4,31,12,12,29,11,0,0,0
LOC116804334,3,0,10,2,0,0,2,0,4,2,0,0,0,0,0
LOC116804335,182,89,724,198,318,174,102,310,170,153,310,275,190,347,170
LOC116804336,0,0,5,23,114,22,1,10,4,27,74,82,0,2,0
LOC116804339,17,19,171,36,95,6,2,0,0,17,51,29,4,6,0
LOC116804340,6,2,2,0,0,0,0,0,0,0,0,0,29,45,11
LOC116804341,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804342,0,0,7,0,0,2,0,1,0,0,0,0,0,2,0
LOC116804346,1292,1054,6149,1952,3828,1504,1777,2830,1890,698,1427,1153,1980,3835,1933
LOC116804347,27,16,87,14,63,25,32,60,33,22,34,57,16,12,11
LOC116804351,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
LOC116804355,172,208,913,175,621,203,132,296,165,56,246,115,151,467,143
LOC116804356,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0
LOC116804357,8,5,42,14,42,16,10,23,10,15,87,43,12,15,18
LOC116804359,2,0,10,0,6,3,0,0,0,0,0,0,2,2,0
LOC116804361,2,0,0,5,0,0,1,0,2,0,2,4,0,0,1
LOC116804362,3,2,20,0,4,3,0,0,0,0,5,3,0,0,1
LOC116804363,160,134,714,153,365,113,117,151,65,199,520,330,44,65,29
LOC116804365,4,6,18,3,0,0,1,7,0,2,5,5,2,7,0
LOC116804366,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LOC116804369,21,14,92,0,6,0,1,0,0,1,3,0,0,0,0
LOC116804370,26,17,75,28,90,32,26,61,15,95,177,191,20,27,25
LOC116804371,1,3,16,3,0,1,2,0,0,0,0,0,0,3,0
LOC116804372,1,0,6,32,14,5,3,10,2,2,1,2,0,0,0
LOC116804373,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116804374,200,143,1002,179,506,166,242,564,310,179,645,313,34,85,6
LOC116804377,0,0,4,0,0,3,1,0,0,0,0,1,0,0,0
LOC116804378,11,6,51,2,20,7,3,42,7,6,17,5,14,6,3
LOC116804380,14,8,31,145,261,136,0,1,0,17,31,37,17,11,15
