,dbuz_larv_rep1,dbuz_larv_rep2,dbuz_larv_rep3,dkoep_larv_rep1,dkoep_larv_rep2,dkoep_larv_rep3
LOC26527354,1094,1027,1009,1400,2267,1030
LOC26527359,9,21,9,93,152,53
LOC26527368,1326,1002,1186,1264,1748,692
LOC26527371,104,101,125,260,469,210
LOC26527372,501,347,546,1017,1497,636
LOC26527377,114,89,109,44,86,27
LOC26527384,0,0,0,0,0,0
LOC26527398,272,199,274,411,697,291
LOC26527401,905,807,821,518,913,340
LOC26527404,967,856,890,3054,4914,2130
LOC26527411,0,0,0,0,0,0
LOC26527415,175,93,157,244,340,167
LOC26527418,546,432,560,122,202,101
LOC26527420,1559,1305,1378,3794,6402,2707
LOC26527430,82,67,65,83,93,31
LOC26527433,238,152,253,228,327,180
LOC26527435,179,157,190,50,98,54
LOC26527437,87,91,68,317,429,143
LOC26527445,24916,18766,27073,68637,114786,35709
LOC26527454,379,241,383,537,887,415
LOC26527455,45,35,37,28,26,16
LOC26527462,52,59,54,73,106,52
LOC26527479,301,225,284,513,891,298
LOC26527490,51,52,66,118,197,63
LOC26527497,408,263,355,40,72,28
LOC26527507,1573,1278,1634,766,1248,558
LOC26527520,257,188,253,454,778,369
LOC26527530,68,59,50,213,293,135
LOC26527538,7,2,4,0,5,2
LOC26527546,458,352,459,79,130,57
LOC26527558,459,328,575,356,536,232
LOC26527560,187,190,238,560,839,385
LOC26527573,0,0,0,1,5,1
LOC26527576,0,0,0,0,0,0
LOC26527579,244,240,283,180,328,154
LOC26527581,443,408,399,629,956,420
LOC26527585,200,172,199,363,565,290
LOC26527586,201,134,142,392,531,291
LOC26527598,1585,1151,1626,998,1517,516
LOC26527599,1657,1517,1466,5728,7760,4104
LOC26527610,732,522,803,474,622,421
LOC26527613,1296,1083,1368,491,852,364
LOC26527618,4,8,9,42,46,15
LOC26527619,183,130,185,78,90,45
LOC26527622,103,89,116,215,404,151
LOC26527629,1,2,6,28,45,26
LOC26527630,1972,1688,2294,3466,5185,2367
LOC26527632,649,450,586,1065,1708,658
LOC26527634,199,176,199,294,488,176
LOC26527635,327,291,382,372,539,270
LOC26527636,1165,881,1229,1216,1954,879
LOC26527644,4,1,2,2,2,0
LOC26527669,148097,114363,149036,100443,177994,51090
LOC26527690,356,297,368,295,442,190
LOC26527692,1,5,1,2,2,1
LOC26527695,69,49,89,103,177,74
LOC26527701,2372,1877,2151,1036,1836,746
LOC26527707,267,191,240,17,23,14
LOC26527708,23243,19600,24733,21301,31991,16489
LOC26527712,421,345,397,217,298,147
LOC26527719,109,107,93,288,415,154
LOC26527720,17,9,22,9,12,6
LOC26527723,284,230,199,739,957,467
LOC26527728,6,2,3,13,22,12
LOC26527736,771,699,732,1102,1849,742
LOC26527738,131,109,153,274,389,213
LOC26527741,940,630,845,230,381,146
LOC26527742,466,358,511,654,1040,433
LOC26527752,55959,49860,53631,18615,27153,12066
LOC26527756,208,149,203,230,389,172
LOC26527765,616,483,635,1291,1974,959
